id,text_no_spaces,text_with_spaces,predicted_positions
0,куплюайфон14про,куплю айфон 14 про,"[5, 10, 12]"
1,ищудомвПодмосковье,ищу домвПодмосковье,[3]
2,сдаюквартирусмебельюитехникой,сдаю квартиру с мебелью и техникой,"[4, 12, 13, 20, 21]"
3,новыйдивандоставканедорого,новый диван доставка не дорого,"[5, 10, 18, 20]"
4,отдамдаромкошку,отдам даром кошку,"[5, 10]"
5,работавМосквеудаленно,работавМоскве удаленно,[13]
6,куплютелевизорPhilips,куплю телевизор Philips,"[5, 14]"
7,ищугрузчиковдляпереезда,ищу грузчиков для переезда,"[3, 12, 15]"
8,ремонтквартирподключ,ремонт квартир подключ,"[6, 13]"
9,куплюноутбукHP,куплю ноутбук HP,"[5, 12]"
10,ищуквартирууметро,ищу квартиру у метро,"[3, 11, 12]"
11,новаямикроволновкаSamsung,новая микроволновка Samsung,"[5, 18]"
12,срочнопродамвелосипед,срочно продам велосипед,"[6, 12]"
13,куплюгитаруFender,куплю гитару Fender,"[5, 11]"
14,ищурепетиторапобиологии,ищу репетитора по биологии,"[3, 13, 15]"
15,сдаюгаражнадлительныйсрок,сдаю гаражна длительный срок,"[4, 11, 21]"
16,куплюдиванбу,куплю диван бу,"[5, 10]"
17,ищумастерапоремонтухолодильников,ищу мастера по ремонту холодильников,"[3, 10, 12, 19]"
18,новыйшкафдоставкасегодня,новый шкаф доставка сегодня,"[5, 9, 17]"
19,куплюXboxOne,куплю XboxOne,[5]
20,ищуподработкуповечерам,ищу подработку по вечерам,"[3, 13, 15]"
21,сдамкомнатустудентке,с дам комнату студентке,"[1, 4, 11]"
22,куплюстаруюкнигу,куплю старую книгу,"[5, 11]"
23,ищусобакулабрадор,ищу собакула брадор,"[3, 11]"
24,новыйтелефонXiaomi13,новый телефон Xiaomi 13,"[5, 12, 18]"
25,куплюPlaystation5диск,куплю Playstatio n5 диск,"[5, 15, 17]"
26,ищукомнатувцентрегорода,ищу комнату в центре города,"[3, 10, 11, 17]"
27,срочнонужнаняняребенку,срочно нужна няня ребенку,"[6, 11, 15]"
28,куплюстиральнуюмашинуIndesit,куплю стиральную машину Indesit,"[5, 15, 21]"
29,ищудетскуюкроваткубу,ищу детскую кроватку бу,"[3, 10, 18]"
30,новаякурткадоставка,новая куртка доставка,"[5, 11]"
31,куплювелосипедMerida,куплю велосипед Merida,"[5, 14]"
32,ищуврачаофтальмолога,ищу врача офтальмолога,"[3, 8]"
33,сдаюквартирувцентреМосквы,сдаю квартиру в центреМосквы,"[4, 12, 13]"
34,куплюхолодильникSamsung,куплю холодильник Samsung,"[5, 16]"
35,ищукошкубританскую,ищу кошку британскую,"[3, 8]"
36,новыйноутбукдоставказавтра,новый ноутбук доставка завтра,"[5, 12, 20]"
37,куплюшкафбу,куплюшкафбу,[]
38,ищурепетиторапоистории,ищу репетитора по истории,"[3, 13, 15]"
39,сдаюкомнатубезпосредников,сдаю комнату без посредников,"[4, 11, 14]"
40,куплютелевизорLGOLED,куплю телевизор LGOLED,"[5, 14]"
41,ищуквартирунедорогосрочно,ищу квартиру недорого срочно,"[3, 11, 19]"
42,новыйайфондоставка,новый айфон доставка,"[5, 10]"
43,куплюгитаруYamaha,куплю гитару Yamaha,"[5, 11]"
44,ищустудиюуметро,ищу студию у метро,"[3, 9, 10]"
45,сдамквартирумолодоженам,с дам квартиру молодоженам,"[1, 4, 12]"
46,куплюкомпьютеригровой,куплю компьютер игровой,"[5, 14]"
47,ищуработуповаромвкафе,ищу работу поваром в кафе,"[3, 9, 16, 17]"
48,новыйдиванIkea,новый диван Ikea,"[5, 10]"
49,куплюстарыйноутбук,куплю старый ноутбук,"[5, 11]"
50,ищусобакудобермана,ищу собаку добермана,"[3, 9]"
51,срочносдаюкомнату,срочно сдаю комнату,"[6, 10]"
52,куплюмониторLG,куплю монитор LG,"[5, 12]"
53,ищумастерапосантехнике,ищу мастера по сантехнике,"[3, 10, 12]"
54,новыйстолдоставка,новый стол доставка,"[5, 9]"
55,куплюайфон13мини,куплю айфон 13 мини,"[5, 10, 12]"
56,ищудевушкудляотношений,ищу девушку для отношений,"[3, 10, 13]"
57,сдаюдачуналето,сдаю дачу на лето,"[4, 8, 10]"
58,куплюстиральнуюмашинуLG,куплю стиральную машину LG,"[5, 15, 21]"
59,ищуучителяанглийскогоязыка,ищу учителя английского языка,"[3, 10, 21]"
60,новыйноутбукAsus,новый ноутбук Asus,"[5, 12]"
61,куплюматрасортопедический,куплю матра сортопедический,"[5, 10]"
62,ищукомнатунадлительныйсрок,ищу комнату на длительный срок,"[3, 10, 12, 22]"
63,сдамквартирубеззалога,с дам квартиру без залога,"[1, 4, 12, 15]"
64,куплюхолодильникAtlant,куплю холодильник Atlant,"[5, 16]"
65,ищусобакушпица,ищу собаку шпица,"[3, 9]"
66,новаястиральнаямашинадоставка,новая стиральная машина доставка,"[5, 15, 21]"
67,куплютелевизорSony,куплю телевизор Sony,"[5, 14]"
68,ищурепетиторапогеографии,ищу репетитора по географии,"[3, 13, 15]"
69,сдаюкомнатусмебелью,сдаю комнату с мебелью,"[4, 11, 12]"
70,куплюпылесосDyson,куплю пылесос Dyson,"[5, 12]"
71,ищуработуофицианткой,ищу работу официанткой,"[3, 9]"
72,новыйшкафкупе,новый шкаф купе,"[5, 9]"
73,куплюдиванугловой,куплю диван угловой,"[5, 10]"
74,ищуквартирунадлительныйсрок,ищу квартиру на длительный срок,"[3, 11, 13, 23]"
75,сдамгаражваренду,с дам гараж в аренду,"[1, 4, 9, 10]"
76,куплювелосипедStels,куплю велосипед Stels,"[5, 14]"
77,ищуврачапедиатра,ищу врача педиатра,"[3, 8]"
78,новыйтелефонOppo,новый телефон Oppo,"[5, 12]"
79,куплюмикроволновкуSamsung,куплю микроволновку Samsung,"[5, 18]"
80,ищукомнатудлядевушки,ищу комнату для девушки,"[3, 10, 13]"
81,срочнопродамшкаф,срочно продам шкаф,"[6, 12]"
82,куплюPlaystation4slim,куплю Playstation 4 slim,"[5, 16, 17]"
83,ищусобакунемецкуюовчарку,ищу собаку немецкую овчарку,"[3, 9, 17]"
84,новаякуртказима,новая куртка зима,"[5, 11]"
85,куплютелефонHonor,куплю телефон Honor,"[5, 12]"
86,ищуподругудляпрогулок,ищу подругу для прогулок,"[3, 10, 13]"
87,сдаюквартирусемье,сдаю квартиру семье,"[4, 12]"
88,куплютелевизорToshiba,куплю телевизор Toshiba,"[5, 14]"
89,ищумастерапоремонтустиралок,ищу мастера по ремонту стиралок,"[3, 10, 12, 19]"
90,новыйдивансерый,новый диван серый,"[5, 10]"
91,куплюкомодбу,куплю комодбу,[5]
92,ищуучителяпоматематике,ищу учителя по математике,"[3, 10, 12]"
93,сдамквартирустудентам,с дам квартиру студентам,"[1, 4, 12]"
94,куплювелосипедбу,куплю велосипед бу,"[5, 14]"
95,ищустудиюнамесяц,ищу студию на месяц,"[3, 9, 11]"
96,новаямикроволновкадоставка,новая микроволновка доставка,"[5, 18]"
97,ищуработунавыходные,ищу работу на выходные,"[3, 9, 11]"
98,куплютелефонHuawei,куплю телефон Huawei,"[5, 12]"
99,"продамшкаф,почтиновый,сзеркалами","продам шкаф, почти новый, с зеркалами","[6, 11, 16, 22, 23]"
100,"ищукнигубратьякарамазовы,срочно","ищу книгу братья карамазовы, срочно","[3, 8, 14, 25]"
101,"новыймонитор,27дюймов,доставка","новый монитор, 27 дюймов, доставка","[5, 13, 15, 22]"
102,"куплюковрикдляйоги,недорого!","куплю коврик для йоги, не дорого!","[5, 11, 14, 19, 21]"
103,"ищуинструкторапоплаванию,бассейнрядом","ищу инструктора поплаванию, бассейн рядом","[3, 14, 25, 32]"
104,"сдамкомнату,толькодевушке","с дам комнату, только девушке","[1, 4, 12, 18]"
105,"куплюшвейнуюмашинку,рабочую","куплю швейную машинку, рабочую","[5, 12, 20]"
106,"ищудрузейдляпутешествий,летомвгоры","ищу друзей для путешествий, летом в горы","[3, 9, 12, 24, 29, 30]"
107,"новаякофеваркаPhilips,гарантияесть","новая кофе в арка Philips, гарантия есть","[5, 9, 10, 14, 22, 30]"
108,"куплюлыжи,палкивкомплекте","куплю лыжи, палки в комплекте","[5, 10, 15, 16]"
109,"ищуучителяповокалу,джаз","ищу учителя по вокалу, джаз","[3, 10, 12, 19]"
110,"сдамместовгараже,сухо","сдам место в гараже, сухо","[4, 9, 10, 17]"
111,"куплюдетскийвелосипед,длядевочки","куплю детский велосипед, для девочки","[5, 12, 22, 25]"
112,"ищупекарявкафе,утро","ищу пекаря в кафе, утро","[3, 9, 10, 15]"
113,"новаястиралкаBosch,привезусам","новая стиралка Bosch, привезу сам","[5, 13, 19, 26]"
114,"куплюстолписьменный,белый","куплю стол письменный, белый","[5, 9, 20]"
115,"ищупрограммистанапроект,срочно!","ищу программиста на проект, срочно!","[3, 15, 17, 24]"
116,"сдамстудиюпосуточно,метрорядом","с дам студию посуточно, метро рядом","[1, 4, 10, 20, 25]"
117,"куплюсковородучугунную,диаметр28","куплю сковороду чугунную, диаметр28","[5, 14, 23]"
118,"ищурепетиторапобиологии,ЕГЭ","ищу репетитора по биологии,ЕГЭ","[3, 13, 15]"
119,"новаягазоваяплита,привезёмбыстро","новая газовая плита, привезём быстро","[5, 12, 18, 26]"
120,"куплюмашинуВАЗбу,находу","куплю машинуВАЗбу, на ходу","[5, 17, 19]"
121,"ищустоликдляноутбука,складной","ищу столик для ноутбука, складной","[3, 9, 12, 21]"
122,"сдамквартирунаночь,чисто","с дам квартиру на ночь, чисто","[1, 4, 12, 14, 19]"
123,"куплюшкаф-купе,трёхдверный","куплю шкаф-купе, трёх дверный","[5, 15, 19]"
124,"ищукостюмнасвадьбу,мужской","ищу костюм на свадьбу, мужской","[3, 9, 11, 19]"
125,"новыйпылесосSamsung,коробкаесть","новый пылесос Samsung, коробка есть","[5, 12, 20, 27]"
126,"куплюрюкзактуристический,70литров","куплю рюкзак туристический, 70 литров","[5, 11, 25, 27]"
127,ищуучителяпошахматам,ищу учителя по шахматам,"[3, 10, 12]"
128,"сдампарковкувцентре,охрана","с дам парковку в центре, охрана","[1, 4, 12, 13, 20]"
129,"куплюкроссовкиAdidas,оригинал","куплю кроссовки Adidas, оригинал","[5, 14, 21]"
130,"ищустолярныеуслуги,недорого","ищу столярные услуги, не дорого","[3, 12, 19, 21]"
131,"новыйтелевизорLG,гарантия2года","новый телевизор LG, гарантия 2 года","[5, 14, 17, 25, 26]"
132,"куплювазудляцветов,стеклянную","куплю вазу для цветов, стеклянную","[5, 9, 12, 19]"
133,ищууборщицунавыходные,ищу уборщицу на выходные,"[3, 11, 13]"
134,"сдамофис,20квадратов","с дам офис, 20 квадратов","[1, 4, 9, 11]"
135,"куплюконькиженские,размер37","куплю коньки женские, размер 37","[5, 11, 19, 25]"
136,ищупереводчикасанглийского,ищу переводчика с английского,"[3, 14, 15]"
137,"новыйутюгPhilips,гарантия","новый утюг Philips, гарантия","[5, 9, 17]"
138,"куплюнаушники,беспроводные","куплю наушники, беспроводные","[5, 14]"
139,"ищуплиточника,ремонтванной","ищу плиточника, ремонт ванной","[3, 14, 20]"
140,"сдамгараж,ключинаруках","с дам гараж, ключи на руках","[1, 4, 10, 15, 17]"
141,"куплюноутбук,недорого,срочно","куплю ноутбук, не дорого, срочно","[5, 13, 15, 22]"
142,ищугрузчиковназавтра,ищу грузчиков на завтра,"[3, 12, 14]"
143,"новыйроутерXiaomi,вайфай6","новый роутер Xiaomi, вайфай6","[5, 11, 18]"
144,"куплюколонки5.1,мощные","куплю колонки 5.1, мощные","[5, 12, 16]"
145,"ищуэлектрика,розеткиискрят!","ищу электрика, розетки искрят!","[3, 13, 20]"
146,"сдамдачунанеделю,естьбаня","с дам дачу на неделю, есть баня","[1, 4, 8, 10, 17, 21]"
147,"куплюмиксеркухонный,брендовый","куплю миксер кухонный, брендовый","[5, 11, 20]"
148,ищуфотографанамероприятие,ищу фотографа на мероприятие,"[3, 12, 14]"
149,новаямультиваркаRedmond,новая мультиварка Redmond,"[5, 16]"
150,"куплючайникэлектрический,новый","куплю чайник электрический, новый","[5, 11, 25]"
151,"ищупылесос,моющий","ищу пылесос, моющий","[3, 11]"
152,"сдамкладовку,центргорода","с дам кладовку, центр города","[1, 4, 13, 18]"
153,куплюкамерувидеонаблюдения,куплю камеру видеонаблюдения,"[5, 11]"
154,"ищуняню,графикгибкий","ищу няню, график гибкий","[3, 8, 14]"
155,"новыйсмартфон,запечатанный","новый смартфон, запечатанный","[5, 14]"
156,куплючемоданнаколёсах,куплю чемодан на колёсах,"[5, 12, 14]"
157,ищупарикмахеранадом,ищу парикмахера на дом,"[3, 14, 16]"
158,"сдамсклад,50метров","с дам склад, 50 метров","[1, 4, 10, 12]"
159,"куплюпроектор,дляфильмов","куплю проектор, для фильмов","[5, 14, 17]"
160,ищугитариставгруппу,ищу гитариста в группу,"[3, 12, 13]"
161,новыйкухонныйкомбайн,новый кухонный комбайн,"[5, 13]"
162,"куплюдиван,тканьсерая","куплю диван, ткань серая","[5, 11, 16]"
163,ищуплитуэлектрическую,ищу плиту электрическую,"[3, 8]"
164,"сдамстудиювцентре,уютная","с дам студию в центре, уютная","[1, 4, 10, 11, 18]"
165,куплюмясорубкуручную,куплю мясорубку ручную,"[5, 14]"
166,ищушеф-поваравресторан,ищу шеф-повара в ресторан,"[3, 13, 14]"
167,новыйматрасортопедический,новый матра сортопедический,"[5, 10]"
168,"куплютренажёр,вело","куплю тренажёр,вело",[5]
169,"ищуадвоката,консультация","ищу адвоката, консультация","[3, 12]"
170,"сдамофис,арендапомесячно","с дам офис, аренда помесячно","[1, 4, 9, 15]"
171,куплюкартинумаслом,куплю картину маслом,"[5, 12]"
172,ищубухгалтеранаполставки,ищу бухгалтера на полставки,"[3, 13, 15]"
173,новаяпечьмикроволновая,новая печь микроволновая,"[5, 9]"
174,куплюлодкурезиновую,куплю лодку резиновую,"[5, 10]"
175,"ищулогопеда,занятиядома","ищу логопеда, занятия дома","[3, 12, 19]"
176,"сдамквартиру,ремонтсвежий","с дам квартиру, ремонт свежий","[1, 4, 13, 19]"
177,"ищумебельщика,кухняподзаказ","ищу мебельщика, кухня под заказ","[3, 14, 19, 22]"
178,новыйкулердляводы,новый кулер для воды,"[5, 10, 13]"
179,куплюстолскладной,куплю стол складной,"[5, 9]"
180,"ищуводителя,ночныесмены","ищу водителя, ночные смены","[3, 12, 18]"
181,"сдамквартиру,толькорусским","с дам квартиру, только русским","[1, 4, 13, 19]"
182,куплюплатьевечернее,куплю платье вечернее,"[5, 11]"
183,"ищухирурга,консультациясрочно","ищу хирурга, консультация срочно","[3, 11, 23]"
184,новыйфильтрдляводы,новый фильтр для воды,"[5, 11, 14]"
185,куплюкреслоофисное,куплю кресло офисное,"[5, 11]"
186,ищумассажистанадом,ищу массажиста на дом,"[3, 13, 15]"
187,сдампомещениеподсклад,с дам помещение под склад,"[1, 4, 13, 16]"
188,куплютелефонOppo,куплю телефон Oppo,"[5, 12]"
189,"ищупсихолога,опытобязателен","ищу психолога, опыт обязателен","[3, 13, 17]"
190,новаяколонкаJBL,новая колонка JBL,"[5, 12]"
191,куплюджинсыLevi’s,куплю джинсы Levi’s,"[5, 11]"
192,"ищудомработницу,центр","ищу домработницу, центр","[3, 16]"
193,"сдамдом,участок6соток","с дам дом, участок 6 соток","[1, 4, 8, 15, 16]"
194,куплюконструкторLego,куплю конструктор Lego,"[5, 16]"
195,ищухудожникадляпортрета,ищу художника для портрета,"[3, 12, 15]"
196,"новыйблендер,гарантия","новый блендер, гарантия","[5, 13]"
197,"куплювидеокамеру,недорого","куплю видеокамеру, не дорого","[5, 17, 19]"
198,ищурепетиторапохимии,ищу репетитора по химии,"[3, 13, 15]"
199,"сдамдачу,лесрядом","с дам дачу, лес рядом","[1, 4, 9, 12]"
200,куплюзимниешины,куплю зимние шины,"[5, 11]"
201,ищугидапоМоскве,ищу гидапоМоскве,[3]
202,новаялюстрапотолочная,новая люстра потолочная,"[5, 11]"
203,"куплюковёр,шерстяной","куплю ковёр, шерстяной","[5, 11]"
204,ищуарендугаража,ищу аренду гаража,"[3, 9]"
205,сдамквартирусбалконом,с дам квартиру с балконом,"[1, 4, 12, 13]"
206,куплюудочкудлярыбалки,куплю удочку для рыбалки,"[5, 11, 14]"
207,"ищукомпозитора,музыка","ищу композитора, музыка","[3, 15]"
208,"новыйтостер,черный","новый тостер, черный","[5, 12]"
209,куплюстоловыеприборы,куплю столовые приборы,"[5, 13]"
210,ищуинженерапоремонту,ищу инженера по ремонту,"[3, 11, 13]"
211,"сдампарковку,центр","с дам парковку, центр","[1, 4, 13]"
212,куплюрезинузимнюю,куплю резину зимнюю,"[5, 11]"
213,ищуактерадлясъемок,ищу актера для съемок,"[3, 9, 12]"
214,новаяплитаэлектрическая,новая плита электрическая,"[5, 10]"
215,куплювидеокартуRTX,куплю видеокарту RTX,"[5, 15]"
216,"ищуюриста,оформлениедоговора","ищу юриста, оформление договора","[3, 10, 20]"
217,"сдамсклад,сухоепомещение","с дам склад, сухое помещение","[1, 4, 10, 15]"
218,куплюкомодбелый,куплю комод белый,"[5, 10]"
219,"ищуплиточника,срочно","ищу плиточника, срочно","[3, 14]"
220,новаялампанастольная,новая лампа настольная,"[5, 10]"
221,"куплюскейтборд,новый","куплю скейтборд, новый","[5, 15]"
222,сдамкомнатусремонтом,с дам комнату с ремонтом,"[1, 4, 11, 12]"
223,куплюроутерTP-Link,куплю роутер TP-Link,"[5, 11]"
224,ищупарнядлясъёмок,ищу парня для съёмок,"[3, 8, 11]"
225,"новыйковёр,мягкий","новый ковёр, мягкий","[5, 11]"
226,куплючасыCasio,куплю часы Casio,"[5, 9]"
227,ищупоставщикаовощей,ищу поставщика овощей,"[3, 13]"
228,"сдамстудию,центргорода","с дам студию, центр города","[1, 4, 11, 16]"
229,куплюпылесосмоющий,куплю пылесос моющий,"[5, 12]"
230,ищудизайнераинтерьера,ищу дизайнера интерьера,"[3, 12]"
231,"новыйхолодильник,белый","новый холодильник, белый","[5, 17]"
232,"ищуняню,полныйдень","ищу няню, полный день","[3, 8, 14]"
233,сдамквартирустехникой,с дам квартиру с техникой,"[1, 4, 12, 13]"
234,куплюплитугазовую,куплю плиту газовую,"[5, 10]"
235,ищуврачакардиолога,ищу врача кардиолога,"[3, 8]"
236,новыйчайникэлектрический,новый чайник электрический,"[5, 11]"
237,куплюстульядеревянные,куплю стулья деревянные,"[5, 11]"
238,ищуповаравкафе,ищу повара в кафе,"[3, 9, 10]"
239,сдамдомнамесяц,с дам дом на месяц,"[1, 4, 7, 9]"
240,куплюавтомобильбу,куплю автомобиль бу,"[5, 15]"
241,ищупрограммистаpython,ищу программиста python,"[3, 15]"
242,новаяпосудомойкаBosch,новая посудомойка Bosch,"[5, 16]"
243,куплюкамеруCanon,куплю камеру Canon,"[5, 11]"
244,ищуработубариста,ищу работу бариста,"[3, 9]"
245,"сдамстудию,срочно","с дам студию, срочно","[1, 4, 11]"
246,куплюайфон15про,куплю айфон 15 про,"[5, 10, 12]"
247,сдамквартирувцентре,с дам квартиру в центре,"[1, 4, 12, 13]"
248,ищуработупрограммистом,ищу работу программистом,"[3, 9]"
249,новаямебельвналичии,новая мебель в наличии,"[5, 11, 12]"
250,куплютелевизорSamsung,куплю телевизор Samsung,"[5, 14]"
251,ищутаксидоаэропорта,ищу такси до аэропорта,"[3, 8, 10]"
252,срочноотдамкотенка,срочно отдам котенка,"[6, 11]"
253,куплюхолодильникбу,куплю холодильник бу,"[5, 16]"
254,сдаюдачусбаней,сдаю дачу с баней,"[4, 8, 9]"
255,куплювелосипедновый,куплю велосипед новый,"[5, 14]"
256,ищустудиюбезмебели,ищу студию без мебели,"[3, 9, 12]"
257,сдамкомнатунамесяц,с дам комнату на месяц,"[1, 4, 11, 13]"
258,куплюмониторSamsung,куплю монитор Samsung,"[5, 12]"
259,ищусобакухаски,ищу собаку хаски,"[3, 9]"
260,новаякурткадоставказавтра,новая куртка доставка завтра,"[5, 11, 19]"
261,куплютелевизорLG,куплю телевизор LG,"[5, 14]"
262,ищуучителяиспанского,ищу учителя испанского,"[3, 10]"
263,сдамгаражсрочно,с дам гараж срочно,"[1, 4, 9]"
264,куплюноутбукLenovo,куплю ноутбук Lenovo,"[5, 12]"
265,ищуквартирупосуточно,ищу квартиру посуточно,"[3, 11]"
266,новыйстолистулья,новый стол и стулья,"[5, 9, 10]"
267,куплютелефонPixel,куплю телефон Pixel,"[5, 12]"
268,ищуврачастоматолога,ищу врача стоматолога,"[3, 8]"
269,сдаюофисваренду,сдаю офис в аренду,"[4, 8, 9]"
270,куплюгитаруGibson,куплю гитару Gibson,"[5, 11]"
271,ищуработукурьером,ищу работу курьером,"[3, 9]"
272,новыйноутбукMSI,новый ноутбук MSI,"[5, 12]"
273,куплюмикроволновкуLG,куплю микроволновку LG,"[5, 18]"
274,ищудевушкудляпрогулок,ищу девушку для прогулок,"[3, 10, 13]"
