id,text_no_spaces,text_with_spaces,predicted_positions
783,Иначнётрассказывать.,Иначнёт рассказывать.,[7]
784,"Вот,-скажет,-вчера,кпримеру,приходилТарнтино","Вот, - скажет, - вчера, к примеру, приходилТарнтино","[4, 5, 12, 13, 19, 20, 28]"
785,"Нажрался,говорит,исталприставатькомне,здоровеннаядетина.","Нажрался, говорит, и стал приставать ко мне, здоровенная детина.","[9, 17, 18, 22, 32, 34, 38, 49]"
786,ЯтогдаемутакстрогосказалаКвентин!,Ятогда ему так строго сказалаКвентин!,"[6, 9, 12, 18]"
787,"Может,тыконечно,говорит,инезаметил,","Может, ты конечно, говорит, и незаметил,","[6, 8, 16, 24, 25]"
788,"Новообще-тояждуВолодькуизРоссии,","Но вообще-то я ждуВолодькуизРоссии,","[2, 11, 12]"
789,"Атебя,говорит,вообщезаходитьнепросили","Атебя, говорит, вообще заходить не просили","[6, 14, 20, 28, 30]"
790,"Воттакаябатва,прикинь?","Вот такая батва, прикинь?","[3, 8, 14]"
791,Бываетнедосмеха,Бывает не до смеха,"[6, 8, 10]"
792,"Вобщем,былотруднобезтебя,Вован.","Вобщем, было трудно без тебя,Вован.","[7, 11, 17, 20]"
793,"Хорошо,чтоприехал","Хорошо, что приехал","[7, 10]"
794,"Жил-былнасветеАнтонГородецкий,","Жил-был на светеАнтонГородецкий,","[7, 9]"
795,"Бросилажена,онгрустилнепо-детски.","Бросила жена, он грустил не по-детски.","[7, 12, 14, 21, 23]"
796,Пришёлкколдунье:'Ану-канаколдуймне!',Пришёл к колдунье:'Ану-ка на колдуй мне!',"[6, 7, 23, 25, 31]"
797,"'Легко,мойхороший,толькохлопнувладоши,","'Легко, мой хороший, только хлопнув ладоши,","[7, 10, 18, 24, 31]"
798,"Иженавернётся,оттогоотвернётся,","Ижена вернётся, оттого отвернётся,","[5, 14, 20]"
799,Ималенькаяжизньвнутринеёоборвётся.',Ималенькая жизнь внутри неё оборвётся.',"[10, 15, 21, 24]"
800,Новдругналетелинаведьмутени,Но вдруг налетели на ведьму тени,"[2, 7, 15, 17, 23]"
801,"Привидений,говорят:'Небыватьпреступленью'","Привидений, говорят:'Небывать преступленью'","[11, 28]"
802,"Нучтожеты,чтотыпотупилавзор?","Ну что же ты, что ты потупила взор?","[2, 5, 7, 10, 13, 15, 23]"
803,"Сдавайся,ведьма–«НочнойДозор».","Сдавайся, ведьма –«НочнойДозор».","[9, 15]"
804,"Итреснулмирнапополам,дымитразлом,","Итреснул мир на пополам, дымит разлом,","[8, 11, 13, 21, 26]"
805,"Ильётсякровь,идётвойнадобрасозлом.","Ильётся кровь, идёт война добра со злом.","[7, 13, 17, 22, 27, 29]"
806,"Имеркнетсвет,вуглахпаукплетётузор,","Имеркнет свет, в углах паук плетёт узор,","[8, 13, 14, 19, 23, 29]"
807,Потёмнымулицамлетит«ночнойдозор».,По тёмным улицам летит «ночной дозор».,"[2, 8, 14, 19, 26]"
808,"ИпонялАнтоха,чтопоступилплохо,","ИпонялАнтоха, что поступил плохо,","[13, 16, 24]"
809,"Ито,чторазвелаегоколдунья,каклоха.","Ито, что развела его колдунья, как лоха.","[4, 7, 14, 17, 26, 29]"
810,"Носила«иного»вантоновомвзоре,","Носила «иного» в антоновом взоре,","[6, 13, 14, 23]"
811,"Азначит,онбудетработатьв«дозоре».","Азначит, он будет работать в «дозоре».","[8, 10, 15, 23, 24]"
812,"Годыпрошли,Городецкийнетужит,","Годы прошли,Городецкий не тужит,","[4, 21, 23]"
813,"Водочкуглушит,свампирамидружит.","Водочку глушит, с вампирами дружит.","[7, 14, 15, 24]"
814,Начальникхороший–мудрейшийГесер,Начальник хороший – мудрейшийГесер,"[9, 16, 17]"
815,Былзам.министромinUSSR.,Был зам. министром inUSSR.,"[3, 7, 16]"
816,"Новотвызывают,нужноехатьскорее,","Но вот вызывают, нужно ехать скорее,","[2, 5, 14, 19, 24]"
817,Вампир-парикмахерсподружкойсвоею,Вампир - парикмахер с подружкой своею,"[6, 7, 17, 18, 27]"
818,"Влоговоксебезаманилиподростка,","Влогово к себе заманили подростка,","[7, 8, 12, 20]"
819,Решилипоужинатьподлоипросто.,Решили поужинать подло и просто.,"[6, 15, 20, 21]"
820,"Антохауспел,завязаласьдрака,","Антоха успел, завязалась драка,","[6, 12, 22]"
821,"Согромнымтрудом,новсёжубилвурдалака,","Согромным трудом, но всё ж убил вурдалака,","[9, 16, 18, 21, 22, 26]"
822,"Ножницамибылтяжелораненвбою,","Ножницами был тяжело ранен в бою,","[9, 12, 18, 23, 24]"
823,"Присмертибыл,можносказатьнакраю.","При смерти был, можно сказать на краю.","[3, 9, 13, 18, 25, 27]"
824,"НодобрыйГесереговылечилбыстро,","Но добрыйГесер его вылечил быстро,","[2, 13, 16, 23]"
825,"Ещебы,абыкогонеберутвзамминистры.","Еще бы, абы кого не берут в замминистры.","[3, 6, 9, 13, 15, 20, 21]"
826,"Адальше-бедазабедой,какпонотам:","Адальше - беда за бедой, как по нотам:","[7, 8, 12, 14, 20, 23, 25]"
827,"Вороназалетелавтурбинусамолёта,","Ворона залетела в турбину самолёта,","[6, 14, 15, 22]"
828,"Натеплоцентраличего-товзорвалось,","На тепло централи чего-то взорвалось,","[2, 7, 15, 22]"
829,"АСветавиновнавовсёмоказалась,","АСвета виновна во всём оказалась,","[6, 13, 15, 19]"
830,"Но,встретивкрасавцаАнтона,влюбилась,","Но, встретив красавцаАнтона, влюбилась,","[3, 11, 26]"
831,Иразрушениеостановилось.,Иразрушение остановилось.,[11]
832,НозлойЗавулониз«дозорадневного»,НозлойЗавулон из «дозора дневного»,"[13, 15, 22]"
833,СделализсынаАнтона«иного».,Сделал из сынаАнтона «иного».,"[6, 8, 18]"
834,Икаксэтимсправитсянашгерой?,Икак с этим справится наш герой?,"[4, 5, 9, 18, 21]"
835,Всенапросмотркартинывторой!,Всена просмотр картины второй!,"[5, 13, 20]"
836,"Вгазетахписали,чтотыуезжаешь,","Вгазетах писали, что ты уезжаешь,","[8, 15, 18, 20]"
837,"Чторейснеотменят,чторейснеотложат.","Что рейс не отменят, что рейс не от ложат.","[3, 7, 9, 17, 20, 24, 26, 28]"
838,"Какие-толюдитебяокружают,","Какие-то люди тебя окружают,","[8, 12, 16]"
839,"Аближе,чембыли-уженевозможно.","Аближе, чем были - уже невозможно.","[7, 10, 14, 15, 18]"
840,"Вкрасивыхжурналахсчитаютпунктиры,","Вкрасивых журналах считают пунктиры,","[9, 17, 24]"
841,Ая-доквартирывечернеесальто.,Ая-до квартиры вечернее сальто.,"[5, 13, 21]"
842,"Икривятсягубы,икофепротивен,","Икривятся губы, и кофе противен,","[9, 14, 15, 19]"
843,"Иновоеутро,иновое'неттебя...'","Иновое утро, и новое'нет тебя...'","[6, 11, 12, 21]"
844,Япоасфальтушагаю,Япо асфальту шагаю,"[3, 11]"
845,"Стем,когосберечьнесмогу.","Стем, кого сберечь не смогу.","[5, 9, 16, 18]"
846,"Доостановкитрамвая,","До остановки трамвая,","[2, 11]"
847,Звенящегонабегу.,Звенящего на бегу.,"[9, 11]"
848,"Вгазетахписали,чтоты-идиотка,","Вгазетах писали, что ты - идиотка,","[8, 15, 18, 20, 21]"
849,Вовсёмвиноватапроклятаяводка.,Во всём виновата проклятая водка.,"[2, 6, 14, 23]"
850,"Ругаешьсяматом,ипесеннепишешь,","Ругаешься матом, и песен не пишешь,","[9, 15, 16, 21, 23]"
851,"Тебяокружаютнелюди,амыши.","Тебя окружают не люди, а мыши.","[4, 12, 14, 19, 20]"
852,Такоеневыдуматьдаженарошно.,Такое не выдумать даже нарошно.,"[5, 7, 15, 19]"
853,"Аякаждыйвечерползудоквартиры,","Ая каждый вечер ползу до квартиры,","[2, 8, 13, 18, 20]"
854,"Иближе,чембыли-уженевозможно.","Иближе, чем были - уже невозможно.","[7, 10, 14, 15, 18]"
855,"Измученныйдорогой,явыбилсяизсил.","Измученный дорогой, я выбился из сил.","[10, 18, 19, 26, 28]"
856,Ивдомелесникаяночлегапопросил.,Ив доме лесникая ночлега попросил.,"[2, 6, 14, 21]"
857,Сулыбкойдобродушнойстарикменявпустил.,Сулыбкой добродушной старик меня в пустил.,"[8, 19, 25, 29, 30]"
858,Ижестомдружелюбнымнаужинпригласил.,Ижестом дружелюбным на ужин пригласил.,"[7, 18, 20, 24]"
859,"Будькакдома,путник,янивчёмнеоткажу,","Будь как дома, путник, я ни в чём не откажу,","[4, 7, 12, 19, 20, 22, 23, 26, 28]"
860,"Янивчемнеоткажу,янивчёмнеоткажу!","Яни в чем не откажу, я ни в чём не откажу!","[3, 4, 7, 9, 16, 17, 19, 20, 23, 25]"
861,"Множествоисторий,кольжелаешь,расскажу,","Множество историй, коль желаешь, расскажу,","[9, 17, 21, 29]"
862,"Кольжелаешь,расскажу,","Коль желаешь, расскажу,","[4, 12]"
863,"Кольжелаешь,расскажу!","Коль желаешь, расскажу!","[4, 12]"
864,"Наулицетемнело,сиделязастолом.","На улице темнело, сидел я за столом.","[2, 7, 15, 20, 21, 23]"
865,"Лесниксиделнапротив,болталотом,осём.","Лесник сидел напротив, болтал о том, о сём.","[6, 11, 20, 26, 27, 31, 32]"
866,"Чтонетсредиживотныхустарикаврагов,","Чтонет среди животных устарика врагов,","[6, 11, 19, 27]"
867,Чтонравитсяемуподкармливатьволков.,Что нравится ему подкармливать волков.,"[3, 11, 14, 27]"
868,Иволкисрединочизавылиподокном.,Иволки среди ночи завыли под окном.,"[6, 11, 15, 21, 24]"
869,Старикзаулыбалсяивдругпокинулдом.,Старик заулыбался и вдруг покинул дом.,"[6, 16, 17, 22, 29]"
870,Новскоревозвратилсясружьёмнаперевес:,Но вскоре возвратился с ружьём на перевес:,"[2, 8, 19, 20, 26, 28]"
871,"'Друзьяхотятпокушать,пойдём,приятель,влес!'","'Друзья хотят покушать, пойдём, приятель, в лес!'","[7, 12, 21, 28, 37, 38]"
872,Яшёлксебедомой,Яшёл к себе домой,"[4, 5, 9]"
873,Яшёлпомокрымлужам,Яшёл по мокрым лужам,"[4, 6, 12]"
874,Поскользкоймостовой,Поскользкой мостовой,[11]
875,Ногамиснегутюжил,Ногами снег утюжил,"[6, 10]"
876,Амокрыйснегпадал,Амокрый снег падал,"[7, 11]"
877,Аяшёлдомой,Ая шёл домой,"[2, 5]"
878,Позимнемусаду,По зимнему саду,"[2, 9]"
879,Попустоймостовой,По пустой мостовой,"[2, 8]"
880,Оншёлсомнойрядом,Он шёл со мной рядом,"[2, 5, 7, 11]"
881,Шпионилзамной,Шпионил за мной,"[7, 9]"
882,Следилзамнойвзглядом,Следил за мной взглядом,"[6, 8, 12]"
883,Бесшумныйконвой,Бесшумный конвой,[9]
884,Ивотястою,Ивот я стою,"[4, 5]"
885,Накраюснегопада,На краю снегопада,"[2, 6]"
886,Снебападаетснег,Снеба падает снег,"[5, 11]"
887,Значитнебутакнадо,Значит небу так надо,"[6, 10, 13]"
888,Вэтотрудноповерить,Вэто трудно поверить,"[4, 10]"
889,Явернулсядомой,Явернулся домой,[9]
890,Тыоткрыламнедвери,Ты открыла мне двери,"[2, 9, 12]"
891,Снегвошёлвследзамной,Снег вошёл вслед за мной,"[4, 9, 14, 16]"
892,Ивдругснеграстаял,Ивдруг снег растаял,"[6, 10]"
893,Увиделтебя,Увидел тебя,[6]
894,Напорогеостались,На пороге остались,"[2, 8]"
895,Толькокаплидождя,Только капли дождя,"[6, 11]"
896,Насуноситрека,Нас уносит река,"[3, 9]"
897,Плавныхвёселволнами,Плавных вёсел волнами,"[7, 12]"
898,Словнокто-тооткрыл,Словно кто-то открыл,"[6, 12]"
899,Всенебесныекраны,Все небесные краны,"[3, 11]"
900,Мыстоимнакраю,Мыстоим на краю,"[7, 9]"
901,Накраюводопада,На краю водопада,"[2, 6]"
902,Снебальётсявода,Снеба льётся вода,"[5, 11]"
903,Заморямиестьлимоновыйсад,Заморями есть лимоновый сад,"[8, 12, 21]"
904,Янайдулимонибудурад,Янайду лимон и буду рад,"[6, 11, 12, 16]"
905,Нотебенедамнесмейменявинить,Но тебе не дам не смей меня винить,"[2, 6, 8, 11, 13, 17, 21]"
906,Посмотритедочегоонхорош,Посмотрите до чего он хорош,"[10, 12, 16, 18]"
907,Нонадорогетыегоненайдешь,Нона дороге ты его не найдешь,"[4, 10, 12, 15, 17]"
908,Попробуйсделайсамнебудуятебяучить,Попробуй сделай сам не буду я тебя учить,"[8, 14, 17, 19, 23, 24, 28]"
909,Растутлимонынавысокихгорах,Растут лимоны на высоких горах,"[6, 12, 14, 21]"
910,Накрутыхберегахдлякрутых,На крутых берегах для крутых,"[2, 8, 15, 18]"
911,Корочетынедостанешь,Коро четы недостанешь,"[4, 8]"
912,Явижуцельязалимономдотянутьсяхочу,Явижу цель я за лимоном дотянуться хочу,"[5, 9, 10, 12, 19, 29]"
913,Язалимономлечуикрутизнойнаслаждаюсь,Яза лимоном лечу и крутизной наслаждаюсь,"[3, 10, 14, 15, 24]"
914,СтранаЛимониястранабеззабот,СтранаЛимония страна беззабот,"[13, 19]"
915,ВстрануЛимониюведетподземныйход,ВстрануЛимонию ведет подземный ход,"[14, 19, 28]"
916,Найтипопробуйсамнебудуятебяучить,Найти попробуй сам не буду я тебя учить,"[5, 13, 16, 18, 22, 23, 27]"
917,Труднадорогаиповсюдуобман,Трудна дорога и повсюду обман,"[6, 12, 13, 20]"
918,Ночтобнесбитьсяуменяестьплан,Но чтоб не сбиться у меня есть план,"[2, 6, 8, 15, 16, 20, 24]"
919,Ноятебенедамнесмейменявинить,Но я тебе не дам не смей меня винить,"[2, 3, 7, 9, 12, 14, 18, 22]"
920,СтрануЛимониюищусдавнихпор,СтрануЛимонию ищу с давних пор,"[13, 16, 17, 23]"
921,Мненадоелвечнозеленыйпомидор,Мне надоел вечнозеленый помидор,"[3, 9, 21]"
922,Еготыкушайсамнесмейегосомнойделить,Его ты кушай сам не смей его со мной делить,"[3, 5, 10, 13, 15, 19, 22, 24, 28]"
923,Несмейегосомнойделить,Не смей его со мной делить,"[2, 6, 9, 11, 15]"
924,"Выйдунаулицу-солнцанема,","Выйду на улицу-солнца нема,","[5, 7, 19]"
925,Парнимолодыесвелименясума.,Парни молодые свели меня с ума.,"[5, 12, 17, 21, 22]"
926,"Выйдунаулицу,глянунасело,-","Выйду на улицу, гляну на село,-","[5, 7, 13, 18, 20]"
927,"Девкигуляют,имневесело.","Девки гуляют, и мне весело.","[5, 12, 13, 16]"
928,"Матушкародная,водицымнедай,","Матушка родная, водицы мне дай,","[7, 14, 20, 23]"
929,Сердцемоетакикидаетвжар.,Сердце мое так и кидает в жар.,"[6, 9, 12, 13, 19, 20]"
930,"Раньшеягулялавзеленомсаду,","Раньше я гуляла в зеленом саду,","[6, 7, 13, 14, 21]"
931,Думаланаулицувекнепойду.,Думала на улицу век не пойду.,"[6, 8, 13, 16, 18]"
932,Атеперьподвечеражпяткигорят-,Атеперь под вечер аж пятки горят-,"[7, 10, 15, 17, 22]"
933,Ноженькирезвыевпляскухотят.,Ноженьки резвые в пляску хотят.,"[8, 14, 15, 21]"
934,"Япойдунаулицу,кдевкампойду,","Япойду на улицу, к девкам пойду,","[6, 8, 14, 15, 21]"
935,Голосомзвонкимяимподпою.,Голосом звонким я им под пою.,"[7, 14, 15, 17, 20]"
936,"Матушка,слышишь,соловушекпоет,","Матушка, слышишь, соловушек поет,","[8, 16, 25]"
937,"Атам,подгорою,пляскаидет-","Атам, под горою, пляска идет-","[5, 8, 14, 20]"
938,"Девкиголосистыезвонкопоют,","Девки голосистые звонко поют,","[5, 15, 21]"
939,Мнедамолоденькойспатьнедают.,Мнеда молоденькой спать не дают.,"[5, 16, 21, 23]"
940,"Теплоеместо,ноулицыждут","Теплое место, но улицы ждут","[6, 12, 14, 19]"
941,Отпечатковнашихног.,Отпечатков наших ног.,"[10, 15]"
942,Звезднаяпыль-насапогах.,Звездная пыль - на сапогах.,"[8, 12, 13, 15]"
943,"Мягкоекресло,клетчатыйплед,","Мягкое кресло, клетчатый плед,","[6, 13, 22]"
944,Ненажатыйвовремякурок.,Не нажатый во время курок.,"[2, 9, 11, 16]"
945,Солнечныйдень-вослепительныхснах.,Солнечный день - в ослепительных снах.,"[9, 13, 14, 15, 28]"
946,"Группакрови-нарукаве,","Группа крови - на рукаве,","[6, 11, 12, 14]"
947,"Мойпорядковыйномер-нарукаве,","Мой порядковый номер - на рукаве,","[3, 13, 18, 19, 21]"
948,"Пожелаймнеудачивбою,пожелаймне:","Пожелай мне удачи в бою, пожелай мне:","[7, 10, 15, 16, 20, 27]"
949,"Неостатьсявэтойтраве,","Не остаться в этой траве,","[2, 10, 11, 15]"
950,Неостатьсявэтойтраве.,Не остаться в этой траве.,"[2, 10, 11, 15]"
951,"Пожелаймнеудачи,пожелаймнеудачи!","Пожелай мне удачи, пожелай мне удачи!","[7, 10, 16, 23, 26]"
952,"Иестьчемплатить,ноянехочу","Иесть чем платить, но я не хочу","[5, 8, 16, 18, 19, 21]"
953,Победылюбойценой.,Победы любой ценой.,"[6, 11]"
954,Яникомунехочуставитьногунагрудь.,Яникому не хочу ставить ногу на грудь.,"[7, 9, 13, 20, 24, 26]"
955,"Яхотелбыостатьсястобой,","Яхотел бы остаться с тобой,","[6, 8, 16, 17]"
956,"Простоостатьсястобой,","Просто остаться с тобой,","[6, 14, 15]"
957,Новысокаявнебезвездазоветменявпуть.,Но высокая в небе звезда зовет меня в путь.,"[2, 9, 10, 14, 20, 25, 29, 30]"
958,"Ночькоротка,цельдалека,","Ночь коротка, цель далека,","[4, 12, 16]"
959,"Ночьютакчастохочетсяпить,","Ночью так часто хочется пить,","[5, 8, 13, 20]"
960,"Тывыходишьнакухню,","Ты выходишь на кухню,","[2, 10, 12]"
961,"Новодаздесьгорька,","Новода здесь горька,","[6, 11]"
962,"Тынеможешьздесьспать,","Тыне можешь здесь спать,","[4, 10, 15]"
963,Тынехочешьздесьжить.,Тыне хочешь здесь жить.,"[4, 10, 15]"
964,"Доброеутро,последнийгерой!","Доброе утро, последний герой!","[6, 11, 20]"
965,"Доброеутротебеитаким,какты,","Доброе утро тебе и таким, как ты,","[6, 10, 14, 15, 21, 24]"
966,"Доброеутро,последнийгерой.","Доброе утро, последний герой.","[6, 11, 20]"
967,"Здравствуй,последнийгерой!","Здравствуй, последний герой!","[11, 20]"
968,"Тыхотелбытьодин,этобыстропрошло,","Ты хотел быть один, это быстро прошло,","[2, 7, 11, 16, 19, 25]"
969,"Тыхотелбытьодин,нонесмогбытьодин,","Ты хотел быть один, но не смог быть один,","[2, 7, 11, 16, 18, 20, 24, 28]"
970,"Твояношалегка,нонемеетрука,","Твоя ноша легка, но немеет рука,","[4, 8, 14, 16, 22]"
971,Итывстречаешьрассветзаигройвдурака.,Иты встречаешь рассвет за игрой в дурака.,"[3, 13, 20, 22, 27, 28]"
972,"Утромтыстремишьсяскорееуйти,","Утром ты стремишься скорее уйти,","[5, 7, 17, 23]"
973,"Телефонныйзвонок,каккоманда'Вперед!'","Телефонный звонок, как команда'Вперед!'","[10, 17, 20]"
974,"Тыуходишьтуда,куданехочешьидти,","Ты уходишь туда, куда не хочешь идти,","[2, 9, 14, 18, 20, 26]"
975,"Тыуходишьтуда,нотебятамниктонеждет!","Ты уходишь туда, но тебя там никто не ждет!","[2, 9, 14, 16, 20, 23, 28, 30]"
976,Яидупоулицевзеленомпиджаке.,Яиду по улице в зеленом пиджаке.,"[4, 6, 11, 12, 19]"
977,Мненравятсямоиботинки.,Мне нравятся мои ботинки.,"[3, 11, 14]"
978,Аещекрасивыйгалстукуменя.,Аеще красивый галстук у меня.,"[4, 12, 19, 20]"
979,"Ягладилбрюкидвачаса,","Ягладил брюки два часа,","[7, 12, 15]"
980,Впарикмахерскойсиделсутра.,Впарикмахерской сидел с утра.,"[15, 20, 21]"
981,"Ивотидуяпоулице,одиня.","Ивот иду я по улице, один я.","[4, 7, 8, 10, 16, 20]"
982,Поулицеидуя.,По улице иду я.,"[2, 7, 10]"
983,Поулицеодин.,По улице один.,"[2, 7]"
984,Умоегоприятеляестьновыепластинки.,Умоего приятеля есть новые пластинки.,"[6, 14, 18, 23]"
985,Иязайдувкафеивыпьючашкукофе.,Ия зайду в кафе и выпью чашку кофе.,"[2, 7, 8, 12, 13, 18, 23]"
986,Апотомпойдукнему.,Апотом пойду к нему.,"[6, 11, 12]"
987,ИвзеркалахвитринятакпохожнаБодиХоли.,Ив зеркалах витриня так похож наБодиХоли.,"[2, 10, 17, 20, 25]"
988,Папаскородастсвоюмашинупокататьсямне.,Папа скоро даст свою машину покататься мне.,"[4, 9, 13, 17, 23, 33]"
989,Идуя.,Идуя.,[]
990,Поулицеодиня.,По улице один я.,"[2, 7, 11]"
991,Идуяпоулицеодин.,Идуя по улице один.,"[4, 6, 11]"
992,Весна-постоянныйнасморк.,Весна-постоянный насморк.,[16]
993,Весна-солнцесветитопять.,Весна-солнце светит опять.,"[12, 18]"
994,Ияпромочилноги.,Ияпромочил ноги.,[10]
995,Весна-ияопятьидугулять.,Весна-ия опять иду гулять.,"[8, 13, 16]"
996,Весна-янемогуусидетьдома.,Весна- я не могу усидеть дома.,"[6, 7, 9, 13, 20]"
997,Весна-ялюблювесну.,Весна- я люблю весну.,"[6, 7, 12]"
998,Очемпоютвмоемдворекошки?,Очем поют в моем дворе кошки?,"[4, 8, 9, 13, 18]"
999,"Нет-нет-нет-нет,","Нет-нет-нет-нет,",[]
1000,Янеусну.,Яне усну.,[3]
1001,Весна-яуженегреюпио.,Весна- я уже не грею пио.,"[6, 7, 10, 12, 16]"
1002,Весна-скоровырастеттрава.,Весна-скоро вырастет трава.,"[11, 19]"
1003,"Весна-выпосмотрите,каккрасиво.","Весна - вы посмотрите, как красиво.","[5, 6, 8, 19, 22]"
1004,Весна-гдемояголова?,Весна- где моя голова?,"[6, 9, 12]"
